coord,interval,distance,elevation
"(48.414773, 10.868347)",81.216254,53930.59699700003,474
"(48.414823, 10.867268)",79.850611,54010.44760800003,474
"(48.41491, 10.86569)",116.896225,54127.34383300003,471
"(48.415076, 10.86371)",147.333579,54274.67741200003,471
"(48.415142, 10.862975)",54.755054,54329.43246600003,471
"(48.415179, 10.86248)",36.773904,54366.20637000003,472
"(48.415278, 10.861143)",99.314941,54465.521311000026,472
"(48.415452, 10.859368)",132.45863,54597.97994100003,473
"(48.415597, 10.857718)",122.871847,54720.85178800003,474
"(48.415732, 10.856127)",118.40882,54839.260608000026,472
"(48.415933, 10.853685)",181.65689,55020.917498000024,475
"(48.416294, 10.849415)",317.769776,55338.687274000025,472
"(48.416476, 10.846994)",179.866481,55518.55375500002,473
"(48.417092, 10.839701)",542.723756,56061.27751100002,472
"(48.417315, 10.837026)",199.023014,56260.30052500002,473
"(48.417388, 10.835988)",77.05504,56337.35556500002,473
"(48.41744, 10.835193)",58.971827,56396.32739200002,473
"(48.417648, 10.832878)",172.453512,56568.78090400002,472
"(48.417793, 10.8312)",124.916011,56693.69691500002,468
"(48.417959, 10.829253)",144.908821,56838.60573600002,468
"(48.418315, 10.82508)",310.584141,57149.18987700002,455
"(48.418382, 10.824327)",56.083334,57205.27321100002,453
"(48.41843, 10.823814)",38.243806,57243.51701700002,453
"(48.41854, 10.822676)",84.892556,57328.40957300002,452
"(48.41866, 10.821518)",86.518193,57414.92776600002,452
"(48.418717, 10.820926)",44.158288,57459.08605400002,452
"(48.419032, 10.817752)",236.905509,57695.99156300002,454
"(48.419207, 10.815884)",139.259592,57835.25115500002,460
"(48.419451, 10.81323)",197.783776,58033.03493100002,468
"(48.419766, 10.809143)",303.720088,58336.75501900002,477
"(48.419897, 10.807103)",151.290493,58488.04551200002,475
"(48.42001, 10.805042)",152.655298,58640.70081000002,473
"(48.420075, 10.803378)",123.043998,58763.74480800002,466
"(48.420162, 10.800803)",190.324534,58954.06934200002,464
"(48.420184, 10.798103)",199.320292,59153.389634000014,470
"(48.420158, 10.795822)",168.400884,59321.790518000016,469
"(48.420134, 10.79368)",158.138131,59479.928649000016,471
"(48.420084, 10.790523)",233.106175,59713.03482400002,474
"(48.42007, 10.788981)",113.83632,59826.87114400002,482
"(48.420033, 10.787098)",139.058214,59965.929358000016,484
